animal,age,weight,habitat
fox,12,199.28,savanna
fox,10,398.89,savanna
bear,19,367.51,forest
bear,20,147.06,forest
bear,14,233.54,forest
lion,3,248.34,forest
lion,16,102.7,savanna
tiger,1,123.51,arctic
lion,8,339.69,savanna
bear,5,158.67,arctic
tiger,12,372.4,forest
wolf,1,306.5,forest
fox,20,405.43,savanna
bear,2,387.69,arctic
wolf,19,338.58,arctic
tiger,16,134.85,forest
tiger,6,258.91,forest
tiger,17,299.83,forest
wolf,13,90.37,savanna
fox,17,93.71,arctic
lion,3,286.2,savanna
bear,2,375.97,forest
bear,11,479.02,forest
tiger,20,480.47,savanna
bear,16,384.39,forest
wolf,5,457.99,forest
wolf,17,128.16,arctic
wolf,10,306.25,arctic
lion,11,441.48,arctic
fox,18,172.85,savanna
tiger,8,320.1,forest
fox,20,324.33,arctic
bear,15,442.17,savanna
wolf,20,57.4,savanna
bear,11,170.14,forest
bear,4,174.47,forest
tiger,1,78.14,forest
fox,20,465.64,forest
tiger,11,259.83,forest
wolf,20,280.16,forest
lion,6,376.44,forest
fox,20,487.14,forest
bear,17,200.23,forest
bear,2,463.77,savanna
bear,8,149.02,forest
bear,19,91.01,savanna
tiger,6,486.98,arctic
wolf,6,193.29,arctic
lion,14,229.08,savanna
wolf,8,463.49,savanna
